Title,Price,Link,Image URL,Description
forever sparkling diamond ring in 14kt gold or 18kt gold,"₹55,926",https://emori.in/product/forever-sparkling-diamond-ring-in-14kt-gold-or-18kt-gold/,https://emori.in/wp-content/uploads/2023/09/R1094-3-300x300.jpg,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 1.29 CaratsCenter Diamond Weight: 1.03 CaratsMetal: BIS Hallmarked Gold
sparkling solitaire diamond ring in 14kt gold or 18kt gold,"₹36,820",https://emori.in/product/sparkling-solitaire-diamond-ring-in-14kt-gold-or-18kt-gold/,https://emori.in/wp-content/uploads/2023/07/R6463-300x300.jpg,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: ExcellentDiamond Total Weight: 0.91 CaratsCenter Diamond Weight: 0.73 CaratsMetal: BIS Hallmarked Gold
queen diamond ring for her,"₹61,792",https://emori.in/product/queen-diamond-ring-for-her/,https://emori.in/wp-content/uploads/2024/01/R1197-.1-300x300.webp,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 1.39 CaratsCenter Diamond Weight: 0.98 CaratsMetal: BIS Hallmarked Gold
halo round brilliant diamond ring,"₹80,662",https://emori.in/product/halo-round-brilliant-diamond-ring/,https://emori.in/wp-content/uploads/2023/12/R1162.Y4-300x300.webp,"Diamond: Lab Grown DiamondShape: Marquise, RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 2.41 CaratsCenter Diamond Weight: 1.92 CaratsMetal: BIS Hallmarked Gold"
classic diamond solitaire band,"₹37,134",https://emori.in/product/classic-diamond-solitaire-band/,https://emori.in/wp-content/uploads/2023/12/R1143-1-300x300.webp,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 0.66 CaratsCenter Diamond Weight: 0.34 CaratsMetal: BIS Hallmarked Gold
royal halo ring,"₹77,776",https://emori.in/product/royal-halo-ring/,https://emori.in/wp-content/uploads/2024/01/R1191.1-300x300.webp,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 1.74 CaratsCenter Diamond Weight: 0.98 CaratsMetal: BIS Hallmarked Gold
blossom elegance diamond ring in 14kt gold or 18kt gold,"₹10,603",https://emori.in/product/blossom-elegance-diamond-ring-in-14kt-gold-or-18kt-gold/,https://emori.in/wp-content/uploads/2023/10/R1108-1-300x300.png,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 0.11 CaratsMetal: BIS Hallmarked Gold
clustered brilliance diamond ring in 14kt gold or 18kt gold,"₹20,223",https://emori.in/product/clustered-brilliance-diamond-ring-in-14kt-gold-or-18kt-gold/,https://emori.in/wp-content/uploads/2023/10/R1117-1-300x300.jpg,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 0.36 CaratsCenter Diamond Weight: 0.26 CaratsMetal: BIS Hallmarked Gold
radiant ashley diamond ring,"₹31,063",https://emori.in/product/radiant-ashley-diamond-ring/,https://emori.in/wp-content/uploads/2024/02/R1244.1-300x300.webp,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 0.74 CaratsCenter Diamond Weight: 0.47 CaratsMetal: BIS Hallmarked Gold
cushion halo engagement ring,"₹97,290",https://emori.in/product/cushion-halo-engagement-ring/,https://emori.in/wp-content/uploads/2024/01/R1213-new.1-2-300x300.webp,"Diamond: Lab Grown DiamondShape: Round, Cushion SquareColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 2.63 CaratsCenter Diamond Weight: 2.25 CaratsMetal: BIS Hallmarked Gold"
mishka diamond ring,"₹108,764",https://emori.in/product/mishka-diamond-ring/,https://emori.in/wp-content/uploads/2024/01/R1237.1-300x300.webp,"Diamond: Lab Grown DiamondShape: Round, OvalColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 2.78 CaratsCenter Diamond Weight: 2.42 CaratsMetal: BIS Hallmarked Gold"
star halo engagement ring,"₹59,151",https://emori.in/product/star-halo-engagement-ring/,https://emori.in/wp-content/uploads/2024/01/R1214.1-1-300x300.webp,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 1.45 CaratsCenter Diamond Weight: 1.03 CaratsMetal: BIS Hallmarked Gold
1 5 ct knot solitaire diamond ring,"₹53,177",https://emori.in/product/1-5-ct-knot-solitaire-diamond-ring/,https://emori.in/wp-content/uploads/2024/07/R1372.1-300x300.webp,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 1 CaratsMetal: BIS Hallmarked Gold
